iter	Logloss
0	0.6138376573
1	0.571711731
2	0.5343040915
3	0.4923902175
4	0.462452967
5	0.4365211038
6	0.414460171
7	0.398242008
8	0.381797252
9	0.3732836555
10	0.3647925882
11	0.354568459
12	0.3471301359
13	0.3390420353
14	0.3318437464
15	0.3260800306
16	0.320034072
17	0.3140385123
18	0.3078747918
19	0.3030032887
20	0.2974313848
21	0.2924226873
22	0.2861927032
23	0.2832270454
24	0.2802103604
25	0.2755459505
26	0.2721970951
27	0.2698085112
28	0.2661326913
29	0.263315672
30	0.2602260814
31	0.255156618
32	0.252307286
33	0.2498151443
34	0.2467733271
35	0.2432383369
36	0.2409805522
37	0.2386269962
38	0.2362848394
39	0.2336238637
40	0.2316298765
41	0.2307596768
42	0.2288410411
43	0.2270593082
44	0.2255366606
45	0.2233583787
46	0.2199356303
47	0.2173272974
48	0.2159271913
49	0.2139971789
50	0.2128043904
51	0.2114674288
52	0.2091778923
53	0.2073657092
54	0.206398459
55	0.2048837325
56	0.2033114714
57	0.2018997192
58	0.2010085611
59	0.1992782144
60	0.1972813101
61	0.1954677357
62	0.1936479007
63	0.1917144775
64	0.1909008251
65	0.1893990461
66	0.1882513607
67	0.1868182126
68	0.1853242986
69	0.1845533595
70	0.1833589442
71	0.1815269021
72	0.1801520965
73	0.179439511
74	0.1777223026
75	0.1765071196
76	0.1753109203
77	0.1744186177
78	0.1732339186
79	0.1722971636
80	0.1712332894
81	0.1694934957
82	0.1679521897
83	0.1668509091
84	0.1658134348
85	0.1642630633
86	0.1628511878
87	0.1624005374
88	0.1616498162
89	0.160324063
90	0.1590789683
91	0.1574758081
92	0.155988884
93	0.1551399231
94	0.1544880587
95	0.1542216581
96	0.153953642
97	0.1529635261
98	0.1521619348
99	0.1512965932
100	0.1498129564
101	0.1488378861
102	0.1472938538
103	0.1466745601
104	0.1448897418
105	0.1437615002
106	0.1427884943
107	0.1420298408
108	0.1404713799
109	0.1395127353
110	0.1384163352
111	0.1372274287
112	0.1368074529
113	0.1361148834
114	0.1347561331
115	0.1338676004
116	0.1327098622
117	0.1318724464
118	0.1308712454
119	0.1296276878
120	0.128561895
121	0.1273291532
122	0.1267537958
123	0.1256925695
124	0.1251504449
125	0.1245000951
126	0.1238434062
127	0.1228080413
128	0.122176204
129	0.1213661306
130	0.1206247105
131	0.1198894276
132	0.1193720649
133	0.1183885013
134	0.1174795712
135	0.1159451204
136	0.1154724009
137	0.1147280861
138	0.1135290482
139	0.1128811556
140	0.1117825452
141	0.1114482431
142	0.1106961306
143	0.1099984562
144	0.1091695449
145	0.1083851309
146	0.1076273974
147	0.1070764429
148	0.1061675128
149	0.1056286756
150	0.1047944125
151	0.1042843763
152	0.1035389283
153	0.1030254813
154	0.1025736865
155	0.1020099864
156	0.1015289643
157	0.1004752215
158	0.09956539378
159	0.09881129545
160	0.09789755204
161	0.09730593737
162	0.09700262406
163	0.09638625874
164	0.09595543357
165	0.09555419473
166	0.09506862865
167	0.09445535996
168	0.09343327915
169	0.09289320777
170	0.09231236963
171	0.09117576936
172	0.09068116581
173	0.0898809433
174	0.08925242144
175	0.08871564304
176	0.08814710729
177	0.08750099855
178	0.0872578677
179	0.08666101904
180	0.08620092729
181	0.08568871442
182	0.08516050227
183	0.08461694717
184	0.08406294654
185	0.08351078033
186	0.08298537871
187	0.08277183982
188	0.0823192933
189	0.08199551526
190	0.08152296403
191	0.08105368895
192	0.08061986811
193	0.07993879318
194	0.07923466739
195	0.07874919667
196	0.07829763749
197	0.07804181716
198	0.07763974246
199	0.07732763851
