iter	Passed	Remaining
0	3	795
1	6	598
2	7	522
3	9	479
4	13	537
5	16	525
6	17	495
7	19	479
8	21	455
9	23	440
10	24	420
11	25	404
12	28	405
13	34	455
14	35	438
15	36	421
16	37	407
17	39	394
18	40	383
19	41	374
20	43	370
21	45	368
22	47	365
23	49	362
24	50	355
25	52	348
26	53	342
27	54	335
28	56	330
29	57	324
30	58	320
31	61	324
32	63	322
33	65	318
34	66	314
35	68	309
36	69	305
37	70	301
38	72	297
39	73	293
40	75	291
41	77	291
42	79	289
43	80	286
44	82	284
45	84	282
46	117	382
47	119	378
48	121	373
49	122	368
50	127	373
51	130	372
52	132	368
53	134	363
54	135	357
55	137	352
56	138	347
57	142	347
58	144	344
59	145	339
60	146	334
61	148	330
62	149	325
63	150	320
64	152	316
65	153	311
66	154	307
67	157	305
68	159	302
69	160	298
70	162	294
71	163	290
72	164	286
73	166	282
74	167	278
75	168	275
76	169	271
77	172	269
78	174	266
79	176	264
80	178	261
81	179	258
82	181	255
83	182	252
84	183	248
85	185	245
86	187	243
87	189	241
88	191	239
89	193	236
90	194	233
91	195	230
92	197	227
93	198	224
94	199	220
95	201	218
96	203	215
97	205	214
98	207	211
99	209	209
100	210	206
101	211	203
102	213	200
103	214	198
104	216	195
105	217	192
106	218	190
107	220	188
108	222	185
109	224	183
110	226	181
111	227	178
112	228	176
113	230	173
114	231	171
115	232	168
116	234	166
117	236	164
118	238	162
119	239	159
120	241	157
121	242	155
122	243	152
123	245	150
124	246	147
125	247	145
126	249	143
127	251	141
128	253	139
129	255	137
130	256	135
131	257	132
132	259	130
133	260	128
134	261	126
135	263	123
136	264	121
137	265	119
138	267	117
139	269	115
140	271	113
141	272	111
142	273	109
143	275	106
144	276	104
145	277	102
146	278	100
147	280	98
148	282	96
149	284	94
150	285	92
151	287	90
152	288	88
153	290	86
154	291	84
155	292	82
156	294	80
157	295	78
158	296	76
159	299	74
160	301	72
161	302	70
162	304	69
163	305	67
164	307	65
165	308	63
166	309	61
167	311	59
168	312	57
169	314	55
170	316	53
171	319	51
172	320	50
173	322	48
174	323	46
175	324	44
176	326	42
177	327	40
178	329	38
179	331	36
180	333	35
181	335	33
182	336	31
183	338	29
184	339	27
185	340	25
186	342	23
187	343	21
188	344	20
189	347	18
190	349	16
191	350	14
192	351	12
193	353	10
194	354	9
195	355	7
196	356	5
197	358	3
198	359	1
199	361	0
